ICAO,MOF,N,N_VALID,TXOT,REF,ADD_TXOT,AVG_ADD_TXOT
SBCT,2021-09-01T00:00:00Z,1462,1462,16920.100000000006,13756.60000000001,3475.869999999999,2.3774760601915177
SBCT,2021-10-01T00:00:00Z,1487,1487,17959.99999999998,14464.099999999999,3863.999999999996,2.598520511096164
SBCT,2021-11-01T00:00:00Z,1674,1674,20260.99999999998,16484.700000000048,4168.570000000008,2.4901851851851897
SBCT,2021-12-01T00:00:00Z,1794,1794,21589.699999999975,17801.50000000001,4282.229999999995,2.3869732441471543
SBCT,2022-01-01T00:00:00Z,1537,1537,18053.200000000004,14698.00000000004,3726.130000000001,2.4242875731945355
SBCT,2022-02-01T00:00:00Z,1380,1380,15906.699999999997,13161.30000000004,3169.8700000000063,2.297007246376816
SBCT,2022-03-01T00:00:00Z,1774,1774,20470.399999999998,16376.20000000004,4504.859999999996,2.5393799323562547
SBCT,2022-04-01T00:00:00Z,1927,1927,22676.799999999985,18053.80000000004,5151.780000000001,2.6734717176959006
SBCT,2022-05-01T00:00:00Z,2220,2220,25574.099999999962,20156.99999999998,6018.820000000001,2.7111801801801803
SBCT,2022-06-01T00:00:00Z,2054,2054,22937,18629.20000000003,4896.3499999999995,2.383812074001947
SBGL,2019-01-01T00:00:00Z,4422,4422,73917.79999999996,54435.799999996,21556.240000000005,4.874771596562643
SBGL,2019-02-01T00:00:00Z,3495,3495,59789.299999999996,43223.19999999776,18351.980000000007,5.250924177396282
SBGL,2019-03-01T00:00:00Z,3601,3601,63634.89999999987,44922.299999998286,20271.580000000027,5.629430713690649
SBGL,2019-04-01T00:00:00Z,2974,2974,51100.499999999905,37400.69999999954,14987.98,5.039670477471419
SBGL,2019-05-01T00:00:00Z,2982,2982,54850.299999999974,38831.29999999759,17151.360000000026,5.751629778672041
SBGL,2019-06-01T00:00:00Z,2862,2862,47330.79999999996,35237.79999999838,13072.429999999995,4.567585604472395
SBGL,2019-07-01T00:00:00Z,3718,3718,61463.100000000064,46497.69999999743,16101.530000000032,4.330696611081235
SBGL,2019-08-01T00:00:00Z,4200,4200,68991.50000000026,51793.79999999667,20009.68000000005,4.764209523809536
SBGL,2019-09-01T00:00:00Z,5640,5640,92859.09999999998,69584.09999999535,25100.740000000078,4.450485815602851
SBGL,2019-10-01T00:00:00Z,3492,3492,59232.39999999997,43501.89999999797,18274.20999999996,5.23316437571591
SBGL,2019-11-01T00:00:00Z,3476,3476,56570.599999999926,43405.19999999752,14673.930000000017,4.2214988492520185
SBGL,2019-12-01T00:00:00Z,3895,3895,63580.100000000086,48242.999999997046,17211.260000000006,4.418808729139925
SBGL,2020-01-01T00:00:00Z,3416,3416,54737.999999999985,42169.19999999755,15562.739999999993,4.5558372365339554
SBGL,2020-02-01T00:00:00Z,3055,3055,48686.99999999998,37920.59999999848,11921.660000000007,3.9023436988543394
