ICAO,MOF,PHASE,N,TOT_ADD_FUEL,TOT_TXX_FUEL
SBSV,2020-02-01T00:00:00Z,DEP,2415,79283.006445293,315434.01319451263
SBSV,2020-03-01T00:00:00Z,ARR,1770,41296.46999999999,121582.37880000043
SBSV,2020-03-01T00:00:00Z,DEP,1752,49608.98759999998,232004.52617999964
SBSV,2020-04-01T00:00:00Z,ARR,324,7476.064287441971,23945.31098823044
SBSV,2020-04-01T00:00:00Z,DEP,163,2791.6774170585636,22203.68833976117
SBSV,2020-05-01T00:00:00Z,ARR,208,5823.113328000001,16362.954076799992
SBSV,2020-05-01T00:00:00Z,DEP,203,4418.632630469398,28519.354737255842
SBSV,2020-06-01T00:00:00Z,ARR,230,3381.0433708497944,13345.05316548889
SBSV,2020-06-01T00:00:00Z,DEP,230,6302.543692800001,34161.616173919996
SBSV,2020-07-01T00:00:00Z,ARR,404,3485.6560944,19931.670326400013
SBSV,2020-07-01T00:00:00Z,DEP,404,11952.028036800002,66231.91129935996
SBSV,2020-08-01T00:00:00Z,ARR,525,4342.911628799999,25420.450732800015
SBSV,2020-08-01T00:00:00Z,DEP,528,17571.94173120001,86840.28778559998
SBSV,2020-09-01T00:00:00Z,ARR,835,9815.62193377077,47063.8475802218
SBSV,2020-09-01T00:00:00Z,DEP,845,27208.132802207303,104052.09353389913
SBSV,2020-10-01T00:00:00Z,ARR,1363,24570.441661206976,86587.34155169789
SBSV,2020-10-01T00:00:00Z,DEP,1356,42217.85055818124,167708.38070966315
SBSV,2020-11-01T00:00:00Z,ARR,1478,50227.58081426048,116500.22588782084
SBSV,2020-11-01T00:00:00Z,DEP,1486,60587.72157119999,210369.53403274054
SBSV,2020-12-01T00:00:00Z,ARR,2022,36474.9074548811,130352.6670294065
SBSV,2020-12-01T00:00:00Z,DEP,2029,88226.42710448541,279140.8880180995
SBSV,2021-01-01T00:00:00Z,ARR,2396,35819.30300463751,143827.9521628605
SBSV,2021-01-01T00:00:00Z,DEP,2452,112125.75661841813,334357.1659784881
SBSV,2021-02-01T00:00:00Z,ARR,1657,23092.815287644065,97897.53623245798
SBSV,2021-02-01T00:00:00Z,DEP,1672,54315.673917625325,207488.58220741845
SBSV,2021-03-01T00:00:00Z,ARR,1456,25562.031330613172,91112.4501300263
SBSV,2021-03-01T00:00:00Z,DEP,1472,53283.9565304843,187177.51266689267
SBSV,2021-04-01T00:00:00Z,ARR,861,46670.03373413366,86364.6369396563
SBSV,2021-04-01T00:00:00Z,DEP,861,23436.296673880468,104226.47478455293
SBSV,2021-05-01T00:00:00Z,ARR,1080,32464.067155458844,82563.30779877254
SBSV,2021-05-01T00:00:00Z,DEP,1101,42274.967267837754,147938.26565879514
SBSV,2021-06-01T00:00:00Z,ARR,1424,20824.356440603256,83341.58813127025
SBSV,2021-06-01T00:00:00Z,DEP,1440,51719.04643054167,185027.06757564182
SBSV,2021-07-01T00:00:00Z,ARR,1945,31637.215964928047,119995.46278535183
SBSV,2021-07-01T00:00:00Z,DEP,1961,72650.33994964638,259332.31605892928
SBSV,2021-08-01T00:00:00Z,ARR,1715,23663.980512970797,101149.36110913295
SBSV,2021-08-01T00:00:00Z,DEP,1723,78077.56077573946,241112.64595255593
SBSV,2021-09-01T00:00:00Z,ARR,1949,31813.865370710322,122185.86697486405
SBSV,2021-09-01T00:00:00Z,DEP,1955,110077.28329022441,294903.37253668957
SBSV,2021-10-01T00:00:00Z,ARR,2021,34362.09626893374,127599.00343247235
SBSV,2021-10-01T00:00:00Z,DEP,2008,83666.54842966051,274188.44177025685
SBSV,2021-11-01T00:00:00Z,ARR,2129,37062.28937305021,131220.6525272305
SBSV,2021-11-01T00:00:00Z,DEP,2106,86483.07286783756,288394.828819915
SBSV,2021-12-01T00:00:00Z,ARR,2602,44737.22304193293,162470.3884042441
SBSV,2021-12-01T00:00:00Z,DEP,2566,110234.24045220538,348958.3481175863
SBSV,2022-01-01T00:00:00Z,ARR,2595,44372.051240603476,162202.04880168676
SBSV,2022-01-01T00:00:00Z,DEP,2591,117550.44858381443,355434.57091924443
SBSV,2022-02-01T00:00:00Z,ARR,2065,28389.47189869581,120697.44520562499
SBSV,2022-02-01T00:00:00Z,DEP,2068,77731.78603054167,266366.191074485
SBSV,2022-03-01T00:00:00Z,ARR,2313,38283.07872579877,141856.45090861575
SBSV,2022-03-01T00:00:00Z,DEP,2307,87262.10508594356,299325.7534550726
SBSV,2022-04-01T00:00:00Z,ARR,2154,35721.09901503407,129421.08370447376
SBSV,2022-04-01T00:00:00Z,DEP,2118,84914.50825734473,284015.6052753004
SBSV,2022-05-01T00:00:00Z,ARR,2074,33801.94481986295,121160.06407015123
SBSV,2022-05-01T00:00:00Z,DEP,2056,76916.01565554408,275901.4072828883
SBSV,2022-06-01T00:00:00Z,ARR,1984,30779.56710620329,113660.65880103283
SBSV,2022-06-01T00:00:00Z,DEP,1971,77302.53390634454,266499.8652277161
