ICAO,MOF,PHASE,N,TOT_ADD_FUEL,TOT_TXX_FUEL
SBCT,2020-12-01T00:00:00Z,DEP,1191,29385.375816744283,153846.06899187842
SBCT,2021-01-01T00:00:00Z,ARR,1193,18816.31680000003,53240.585999999996
SBCT,2021-01-01T00:00:00Z,DEP,1164,22326.344030262586,143389.00614698415
SBCT,2021-02-01T00:00:00Z,ARR,962,10503.891600000003,37232.69340000006
SBCT,2021-02-01T00:00:00Z,DEP,965,24585.72358429791,125898.29712811092
SBCT,2021-03-01T00:00:00Z,ARR,754,10374.660558973086,34951.37015659485
SBCT,2021-03-01T00:00:00Z,DEP,762,18877.22706122773,102644.25127769605
SBCT,2021-04-01T00:00:00Z,ARR,519,6326.516870918948,20372.565466540622
SBCT,2021-04-01T00:00:00Z,DEP,519,10563.116719580825,72889.69773976425
SBCT,2021-05-01T00:00:00Z,ARR,708,9793.310608378524,31442.15618448682
SBCT,2021-05-01T00:00:00Z,DEP,717,14390.197989707565,93777.74783326623
SBCT,2021-06-01T00:00:00Z,ARR,903,12653.332199999999,39063.60179999998
SBCT,2021-06-01T00:00:00Z,DEP,911,20001.631644219993,114631.93709211441
SBCT,2021-07-01T00:00:00Z,ARR,1100,15544.240199999982,51241.43520000004
SBCT,2021-07-01T00:00:00Z,DEP,1101,26391.308772524226,139061.74555349286
SBCT,2021-08-01T00:00:00Z,ARR,1219,14847.775098810898,48402.418814757024
SBCT,2021-08-01T00:00:00Z,DEP,1215,30344.758037592575,155781.05555937212
SBCT,2021-09-01T00:00:00Z,ARR,1487,22523.133671999985,64897.205822400036
SBCT,2021-09-01T00:00:00Z,DEP,1462,38408.36200964326,187321.35808584333
SBCT,2021-10-01T00:00:00Z,ARR,1508,20385.691385481197,58448.1432552975
SBCT,2021-10-01T00:00:00Z,DEP,1487,42520.56488829916,196318.23278647548
SBCT,2021-11-01T00:00:00Z,ARR,1688,18910.69277234616,59736.89036520062
SBCT,2021-11-01T00:00:00Z,DEP,1674,47704.6923972239,224732.27887347035
SBCT,2021-12-01T00:00:00Z,ARR,1807,21596.406809611006,64140.67783806553
SBCT,2021-12-01T00:00:00Z,DEP,1794,47557.0318615715,241531.3401572692
SBCT,2022-01-01T00:00:00Z,ARR,1548,19183.647056367914,60346.16890663876
SBCT,2022-01-01T00:00:00Z,DEP,1537,43676.35360453532,206429.14656429464
