APT_ICAO,DATE,PHASE,N_VALID,(-1e+09.-60],(-60.-55],(-55.-50],(-50.-45],(-45.-40],(-40.-35],(-35.-30],(-30.-25],(-25.-20],(-20.-15],(-15.-10],(-10.-5],(-5.0],(0.5],(5.10],(10.15],(15.20],(20.25],(25.30],(30.35],(35.40],(40.45],(45.50],(50.55],(55.60],(60.1e+09],EARLY_M15M05,EARLY_M05M00,LATE_P00P05,LATE_P05P15,WITHIN_M05P05,WITHIN_M15P15
SBSP,2020-08,ARR,516,0,0,0,0,0,1,4,14,63,106,98,81,61,40,9,10,5,8,0,2,0,0,1,1,2,10,0.3469,0.11822,0.07752,0.03682,0.19574,0.57946
SBSP,2021-08,ARR,3236,3,2,1,1,2,2,13,68,260,584,824,615,406,211,85,46,28,11,9,9,10,6,4,4,0,32,0.44468,0.12546,0.0652,0.04048,0.19067,0.67583
SBSP,2019-09,ARR,7194,1,0,0,0,0,2,10,63,339,764,1209,1149,1057,864,496,325,255,171,108,77,75,48,34,24,18,102,0.32777,0.14693,0.1201,0.11412,0.26703,0.70892
SBSP,2020-09,ARR,911,0,0,0,1,1,6,8,46,111,191,191,151,86,47,26,13,4,6,2,2,2,3,4,0,1,9,0.37541,0.0944,0.05159,0.04281,0.14599,0.56422
SBSP,2021-09,ARR,3461,0,0,0,0,0,1,12,63,221,531,788,749,468,298,125,65,40,28,20,8,5,4,5,2,5,23,0.44409,0.13522,0.0861,0.0549,0.22132,0.72031
SBSP,2019-10,ARR,7501,0,0,0,0,1,2,4,80,341,875,1363,1368,1033,845,488,311,194,132,107,84,51,40,33,34,13,101,0.36408,0.13771,0.11265,0.10652,0.25037,0.72097
SBSP,2020-10,ARR,1925,0,0,0,2,7,8,15,74,188,384,419,328,201,134,59,28,13,8,10,7,5,2,3,1,1,28,0.38805,0.10442,0.06961,0.04519,0.17403,0.60727
SBSP,2021-10,ARR,3671,0,0,0,0,0,1,11,34,186,427,706,745,551,423,224,105,62,37,30,26,20,13,6,10,7,47,0.39526,0.1501,0.11523,0.08962,0.26532,0.7502
SBSP,2019-11,ARR,7294,3,0,0,0,0,3,18,84,279,681,1026,1113,1027,871,489,360,254,216,148,132,99,89,70,47,38,239,0.29325,0.1408,0.11941,0.1164,0.26021,0.66987
SBSP,2020-11,ARR,2443,0,0,0,0,1,1,19,75,280,423,544,411,264,165,79,53,40,19,15,7,8,6,4,2,3,24,0.39091,0.10806,0.06754,0.05403,0.1756,0.62055
SBSP,2021-11,ARR,4349,0,0,0,0,0,1,2,36,134,333,647,796,710,585,310,197,140,113,73,47,38,26,22,19,15,99,0.3318,0.16326,0.13451,0.11658,0.29777,0.74615
SBSP,2019-12,ARR,7540,1,0,0,0,1,1,11,90,353,792,1139,1099,899,814,476,359,268,232,184,147,106,62,72,82,56,293,0.29682,0.11923,0.10796,0.11074,0.22719,0.63475
SBSP,2020-12,ARR,2964,0,0,0,0,0,5,37,124,354,537,580,435,292,204,119,74,45,48,18,29,12,11,9,5,0,26,0.34244,0.09852,0.06883,0.06511,0.16734,0.5749
SBSP,2021-12,ARR,5181,0,0,0,0,0,2,4,36,137,442,718,870,749,671,411,269,191,129,114,88,63,53,40,35,23,134,0.3065,0.14457,0.12951,0.13125,0.27408,0.71183
