ICAO,YEAR,PHASE,SLOT2,N,FLIGHTS,N_VALID,SHARE,LABEL
SBCT,2020,ARR,EARLY_1505,4141,4141,11955,0.3463822668339607,EARLY_1505-34.6%
SBCT,2020,ARR,WITHIN_5,2421,2421,11955,0.2025094102885822,WITHIN_5-20.3%
SBCT,2020,ARR,LATE_0515,1157,1157,11955,0.09677959012965287,LATE_0515-9.7%
SBCT,2020,ARR,LATE,1288,1288,11955,0.10773734838979507,LATE-10.8%
SBCT,2020,DEP,EARLY,282,282,11985,0.023529411764705882,EARLY-2.4%
SBCT,2020,DEP,EARLY_1505,4793,4793,11985,0.3999165623696287,EARLY_1505-40%
SBCT,2020,DEP,WITHIN_5,4467,4467,11985,0.37271589486858575,WITHIN_5-37.3%
SBCT,2020,DEP,LATE_0515,1113,1113,11985,0.09286608260325407,LATE_0515-9.3%
SBCT,2020,DEP,LATE,1330,1330,11985,0.11097204839382561,LATE-11.1%
SBCT,2021,ARR,EARLY,2748,2748,13762,0.19968027902921087,EARLY-20%
SBCT,2021,ARR,EARLY_1505,4990,4990,13762,0.36259264641767186,EARLY_1505-36.3%
SBCT,2021,ARR,WITHIN_5,3148,3148,13762,0.22874582182822265,WITHIN_5-22.9%
SBCT,2021,ARR,LATE_0515,1361,1361,13762,0.09889550937363756,LATE_0515-9.9%
SBCT,2021,ARR,LATE,1515,1515,13762,0.11008574335125708,LATE-11%
SBCT,2021,DEP,EARLY,230,230,13887,0.01656225246633542,EARLY-1.7%
SBCT,2021,DEP,EARLY_1505,5783,5783,13887,0.41643263483833803,EARLY_1505-41.6%
SBCT,2021,DEP,WITHIN_5,5106,5106,13887,0.36768200475264634,WITHIN_5-36.8%
SBCT,2021,DEP,LATE_0515,1313,1313,13887,0.09454885864477569,LATE_0515-9.5%
SBCT,2021,DEP,LATE,1455,1455,13887,0.10477424929790452,LATE-10.5%
SBCT,2022,ARR,EARLY,2148,2148,12498,0.17186749879980798,EARLY-17.2%
SBCT,2022,ARR,EARLY_1505,4769,4769,12498,0.38158105296847494,EARLY_1505-38.2%
SBCT,2022,ARR,WITHIN_5,3050,3050,12498,0.24403904624739958,WITHIN_5-24.4%
SBCT,2022,ARR,LATE_0515,1210,1210,12498,0.09681549047847655,LATE_0515-9.7%
SBCT,2022,ARR,LATE,1321,1321,12498,0.10569691150584093,LATE-10.6%
SBCT,2022,DEP,EARLY,109,109,12951,0.00841633850667902,EARLY-0.8%
SBCT,2022,DEP,EARLY_1505,5447,5447,12951,0.4205852829897305,EARLY_1505-42.1%
SBCT,2022,DEP,WITHIN_5,4970,4970,12951,0.38375415025866727,WITHIN_5-38.4%
SBCT,2022,DEP,LATE_0515,1112,1112,12951,0.08586209559107405,LATE_0515-8.6%
SBCT,2022,DEP,LATE,1313,1313,12951,0.10138213265384913,LATE-10.1%
SBGL,2019,ARR,EARLY,10193,10193,45230,0.22535927481759893,EARLY-22.5%
SBGL,2019,ARR,EARLY_1505,12740,12740,45230,0.28167145699756796,EARLY_1505-28.2%
SBGL,2019,ARR,WITHIN_5,9616,9616,45230,0.21260225514039355,WITHIN_5-21.3%
SBGL,2019,ARR,LATE_0515,5413,5413,45230,0.11967720539464957,LATE_0515-12%
SBGL,2019,ARR,LATE,7268,7268,45230,0.16068980764978996,LATE-16.1%
SBGL,2019,DEP,EARLY,143,143,45113,0.0031698180125462726,EARLY-0.3%
SBGL,2019,DEP,EARLY_1505,1437,1437,45113,0.03185334604216079,EARLY_1505-3.2%
SBGL,2019,DEP,WITHIN_5,15357,15357,45113,0.34041185467603574,WITHIN_5-34%
SBGL,2019,DEP,LATE_0515,15598,15598,45113,0.345753995522355,LATE_0515-34.6%
SBGL,2019,DEP,LATE,12578,12578,45113,0.2788109857469022,LATE-27.9%
SBGL,2020,ARR,EARLY,4372,4372,16082,0.2718567342370352,EARLY-27.2%
SBGL,2020,ARR,EARLY_1505,4721,4721,16082,0.2935580151722423,EARLY_1505-29.4%
