AIRPORT,DATE,PHASE,FLIGHTS,TOT_TAXI,TOT_REF,TOT_ADD,AVG_ADD
EDDM,2020-10,DEP,5671,52182,42770.9867685802,9411.01323141984,1.65949801294654
EDDM,2020-11,DEP,3261,32998,25322.8757371919,7675.12426280813,2.35361062950265
EDDM,2020-12,DEP,2844,35378,22718.5569528811,12659.4430471189,4.45128095890257
EDDM,2021-01,DEP,2459,38346,19450.0270694535,18891.9729305465,7.68278687700144
EDDM,2021-02,DEP,1700,20778,14463.9054362851,6314.09456371488,3.71417327277346
EDDM,2021-03,DEP,2550,28272,19586.700145921,8685.29985407895,3.40599994277606
EDDM,2021-04,DEP,3266,34503,26592.1169461369,7889.88305386311,2.41576333553678
EDDM,2021-05,DEP,4102,43769,35882.3583885893,7877.34161141074,1.92036606811574
EDDM,2021-06,DEP,5540,62823,47803.211407444,15019.788592556,2.71115317555162
EDDM,2021-07,DEP,7950,104001,72003.0587973499,31927.94120265,4.01609323303774
EDDM,2021-08,DEP,8779,113770,74092.5140788517,39630.4859211483,4.51423692005335
EDDM,2021-09,DEP,9444,122747,84051.9141942758,38638.0858057242,4.09128396926347
EDDM,2021-10,DEP,10367,118116,90446.7823192239,27629.2176807761,2.6651121520957
EDDM,2021-11,DEP,9599,121691,82987.1952751218,38597.8047248782,4.02102351545767
EDDM,2021-12,DEP,9477,127361,82159.1967398672,45095.8032601328,4.7584471098589
EGLL,2019-01,DEP,18915,401406,273618.235854665,127677.764145335,6.75008004997804
EGLL,2019-02,DEP,17631,389559,253754.260715774,135619.739284226,7.6921183871718
EGLL,2019-03,DEP,19974,464791,289475.00240672,175055.99759328,8.76419333099431
EGLL,2019-04,DEP,20165,452897,279244.276947405,173543.723052595,8.60618512534563
EGLL,2019-05,DEP,20846,477681,298288.042774923,179241.957225077,8.59838612803787
EGLL,2019-06,DEP,20458,482242,289978.344364652,191955.655635348,9.38291405002191
EGLL,2019-07,DEP,21049,500335,301171.035504868,198575.964495132,9.43398567604791
EGLL,2019-08,DEP,21020,495192,303793.179790789,191035.820209211,9.0882883068131
EGLL,2019-09,DEP,19518,442914,279087.898600799,163663.101399201,8.38523933800598
EGLL,2019-10,DEP,20673,477281,295198.749011401,181955.250988599,8.80158907698925
EGLL,2019-11,DEP,19092,417894,270387.208374864,147225.791625136,7.71138652970544
EGLL,2019-12,DEP,18557,415503,267632.571046981,147724.428953019,7.96057708428188
EGLL,2020-01,DEP,19022,408160,275047.330938974,133072.961268818,6.99573973655862
EGLL,2020-02,DEP,17654,393779,255509.46494373,138028.629793112,7.81854705976619
EGLL,2020-03,DEP,13014,249073,185928.456705521,63020.5432944792,4.84251907902868
EGLL,2020-04,DEP,2634,40271,37397.5869827537,2815.41301724627,1.06887358285735
EGLL,2020-05,DEP,3439,52796,48444.0275455968,4249.97245440316,1.23581635777934
EGLL,2020-06,DEP,3738,58869,52410.9498778745,6458.05012212552,1.72767526006568
EGLL,2020-07,DEP,6051,107200,85873.5900596425,21128.4099403575,3.49172201955999
EGLL,2020-08,DEP,7693,120896,107316.554583075,13533.4454169254,1.75918957713836
EGLL,2020-09,DEP,7335,112583,102722.86842222,9800.13157777989,1.33607792471437
EGLL,2020-10,DEP,9099,145895,130184.878083476,15609.1219165244,1.7154766366111
EGLL,2020-11,DEP,5838,97377,82538.8053403498,14838.1946596502,2.54165718733302
EGLL,2020-12,DEP,6426,113001,90709.2626867293,22124.7373132707,3.44300300548875
EGLL,2021-01,DEP,5071,94262,71024.3132704381,23095.6867295619,4.55446395771285
