ICAO,MOF,N,N_VALID,TXIT,REF,ADD_TXIT,AVG_ADD_TXIT
SBCT,2022-03-01T00:00:00Z,1785,1785,6428.899999999999,4406.199999999983,2152.8300000000013,1.206067226890757
SBCT,2022-04-01T00:00:00Z,1970,1970,6797.000000000001,4784.199999999982,2200.3100000000013,1.116908629441625
SBCT,2022-05-01T00:00:00Z,2248,2248,8652.000000000011,5906.0999999999885,2899.489999999999,1.2898087188612095
SBCT,2022-06-01T00:00:00Z,2073,2073,7789.899999999998,5528.699999999984,2410.190000000002,1.1626579835986501
SBGL,2019-01-01T00:00:00Z,4432,4432,32577.000000000004,17206.899999999452,16127.47999999998,3.63887184115523
SBGL,2019-02-01T00:00:00Z,3498,3498,27857.699999999993,13953.99999999933,14534.259999999978,4.1550200114350995
SBGL,2019-03-01T00:00:00Z,3676,3676,32038.30000000001,14996.499999999436,17592.07999999995,4.785658324265492
SBGL,2019-04-01T00:00:00Z,3001,3001,20876.89999999999,11543.499999999383,9810.52000000002,3.2690836387870776
SBGL,2019-05-01T00:00:00Z,3023,3023,19174.899999999998,11379.399999999736,8269.170000000011,2.7354184584849524
SBGL,2019-06-01T00:00:00Z,2906,2906,18938.30000000003,11102.09999999942,8288.33000000001,2.8521438403303545
SBGL,2019-07-01T00:00:00Z,1904,1904,13412.599999999968,8034.79999999959,5689.100000000006,2.9879726890756335
SBGL,2019-08-01T00:00:00Z,4250,4250,35480.4,16954.799999999443,19418.379999999932,4.569030588235278
SBGL,2019-09-01T00:00:00Z,5704,5704,36943.09999999999,23026.500000001415,14808.009999999964,2.5960746844319713
SBGL,2019-10-01T00:00:00Z,3545,3545,31510.599999999977,14598.099999999531,17891.229999999974,5.046891396332856
SBGL,2019-11-01T00:00:00Z,3507,3507,25889.400000000034,14443.199999999551,12061.719999999994,3.4393270601653816
SBGL,2019-12-01T00:00:00Z,3966,3966,28672.299999999977,15810.39999999928,13563.779999999955,3.4200151285930294
SBGL,2020-01-01T00:00:00Z,3485,3485,29672.699999999997,13801.89999999941,16606.199999999964,4.765050215208024
SBGL,2020-02-01T00:00:00Z,3109,3109,20983.8,12705.199999999812,8792.84000000001,2.828189128337089
SBGL,2020-03-01T00:00:00Z,2066,2066,12732.600000000015,8350.799999999654,4751.240000000003,2.2997289448209117
SBGL,2020-04-01T00:00:00Z,247,247,1031.3000000000002,848.1999999999966,302.15000000000003,1.2232793522267207
SBGL,2020-05-01T00:00:00Z,159,159,657.0999999999997,543.5999999999985,191.41999999999996,1.203899371069182
SBGL,2020-06-01T00:00:00Z,280,280,1229.0999999999995,953.7999999999957,363.82,1.2993571428571429
SBGL,2020-07-01T00:00:00Z,472,472,2090.7000000000007,1625.8000000000116,583.5400000000003,1.2363135593220345
SBGL,2020-08-01T00:00:00Z,709,709,3281.6000000000013,2455.6000000000254,942.2499999999993,1.328984485190408
SBGL,2020-09-01T00:00:00Z,753,753,3632.9000000000024,2748.900000000034,1025.2100000000003,1.3615006640106244
SBGL,2020-10-01T00:00:00Z,1039,1039,5585.600000000004,3925.700000000075,1824.22,1.7557459095283927
SBGL,2020-11-01T00:00:00Z,876,876,4324.699999999997,2983.8000000000466,1431.4400000000007,1.63406392694064
SBGL,2020-12-01T00:00:00Z,1135,1135,5752.999999999996,3881.8000000000684,1990.2600000000023,1.753533039647579
SBGL,2021-01-01T00:00:00Z,1150,1150,6051.700000000003,4325.600000000035,1859.4399999999985,1.6169043478260856
SBGL,2021-02-01T00:00:00Z,744,744,3537.699999999994,2531.400000000035,1117.1999999999987,1.5016129032258048
SBGL,2021-03-01T00:00:00Z,533,533,2435.6,1816.4000000000158,731.4499999999995,1.37232645403377
SBGL,2021-04-01T00:00:00Z,400,400,2196.699999999999,1459.6000000000076,821.1999999999995,2.0529999999999986
SBGL,2021-05-01T00:00:00Z,614,614,3019,2112.8000000000234,994.5499999999998,1.6197882736156348
SBGL,2021-06-01T00:00:00Z,685,685,3423.4999999999964,2345.8000000000293,1161.5799999999979,1.6957372262773691
SBGL,2021-07-01T00:00:00Z,1208,1208,6524.9999999999945,4547.300000000023,2079.8100000000004,1.72169701986755
SBGL,2021-08-01T00:00:00Z,1173,1173,5673.600000000005,4032.0000000000696,1805.0999999999974,1.538874680306903
SBGL,2021-09-01T00:00:00Z,1429,1429,6993.399999999989,4890.399999999999,2275.2799999999975,1.5922183344996483
SBGL,2021-10-01T00:00:00Z,1335,1335,7063.699999999987,5077.899999999947,2145.3300000000017,1.6069887640449452
SBGL,2021-11-01T00:00:00Z,1357,1357,6689.500000000003,4668.400000000008,2190.399999999998,1.614148857774501
SBGL,2021-12-01T00:00:00Z,1709,1709,8591.700000000003,5968.199999999887,2838.569999999997,1.6609537741369205
SBGL,2022-01-01T00:00:00Z,1786,1786,8939.800000000012,6224.499999999861,2919.1799999999935,1.634479283314666
SBGL,2022-02-01T00:00:00Z,1439,1439,7560.5999999999995,4985.199999999976,2696.0300000000025,1.8735441278665756
SBGL,2022-03-01T00:00:00Z,1476,1476,8435.30000000001,5597.099999999905,2958.909999999999,2.0046815718157176
SBGL,2022-04-01T00:00:00Z,1008,1008,5566.300000000006,3450.0000000000564,2172.1600000000003,2.1549206349206353
SBGL,2022-05-01T00:00:00Z,1009,1009,8983.599999999991,6148.399999999878,2919.090000000004,2.8930525272547114
SBGL,2022-06-01T00:00:00Z,982,982,5288.900000000002,3353.4000000000547,1974.579999999999,2.010773930753563
SBGR,2019-01-01T00:00:00Z,11923,11923,111304.20000000033,63894.400000002475,49672.80999999986,4.166133523442075
SBGR,2019-02-01T00:00:00Z,10469,10469,100720.7000000003,55738.20000000128,47593.8199999997,4.546166778106763
SBGR,2019-03-01T00:00:00Z,11106,11106,108839.40000000037,61174.200000002136,50452.89999999972,4.542850711327185
SBGR,2019-04-01T00:00:00Z,10350,10350,90919.10000000021,56631.90000000199,36959.13999999991,3.5709314009661752
SBGR,2019-05-01T00:00:00Z,9489,9489,78738.49999999974,50999.400000001064,29748.5700000001,3.1350584887764885
SBGR,2019-06-01T00:00:00Z,9571,9571,79118.90000000036,52222.30000000136,28969.05000000003,3.0267526904189768
SBGR,2019-07-01T00:00:00Z,5769,5769,45561.600000000115,30455.999999999687,16446.200000000037,2.850788698214602
SBGR,2019-08-01T00:00:00Z,11052,11052,101538.50000000044,62108.80000000241,42733.91999999997,3.866623235613461
SBGR,2019-09-01T00:00:00Z,10967,10967,90388.60000000008,61849.90000000243,31419.69000000001,2.8649302452812995
SBGR,2019-10-01T00:00:00Z,11057,11057,106070.1,63389.90000000258,46082.289999999666,4.167702812697808
SBGR,2019-11-01T00:00:00Z,10845,10845,90706.09999999918,60254.20000000162,32959.17999999998,3.039112955278928
SBGR,2019-12-01T00:00:00Z,12244,12244,121156.89999999956,65951.4000000021,57915.10999999979,4.730080855929418
SBGR,2020-01-01T00:00:00Z,11242,11242,127676.19999999966,58968.40000000126,71528.93999999994,6.36265255292652
SBGR,2020-02-01T00:00:00Z,9900,9900,77938.29999999986,52405.800000000876,27467.59000000016,2.7745040404040564
SBGR,2020-03-01T00:00:00Z,7864,7864,62354.59999999988,44671.10000000066,19512.649999999947,2.481262716174968
SBGR,2020-04-01T00:00:00Z,2464,2464,15877.199999999975,13059.300000000001,3791.0900000000033,1.5385917207792221
SBGR,2020-05-01T00:00:00Z,1512,1512,9309.499999999993,7317.499999999953,2397.270000000001,1.5854960317460323
SBGR,2020-06-01T00:00:00Z,1847,1847,11928.800000000005,9810.999999999987,2718.4900000000034,1.471840822956147
SBGR,2020-07-01T00:00:00Z,2860,2860,17812.500000000022,14962.400000000025,3765.5999999999995,1.3166433566433564
SBGR,2020-08-01T00:00:00Z,3865,3865,25436.699999999917,21789.8999999998,4930.170000000012,1.2755937904269112
SBGR,2020-09-01T00:00:00Z,4793,4793,31798.699999999975,26521.799999999857,6689.370000000004,1.3956540788650125
SBGR,2020-10-01T00:00:00Z,5879,5879,38937.00000000006,32122.39999999971,8460.52000000003,1.4391086919544192
SBGR,2020-11-01T00:00:00Z,6262,6262,44087.7,35101.59999999981,10572.30000000002,1.688326413286493
SBGR,2020-12-01T00:00:00Z,7391,7391,54648.50000000002,39642.09999999996,16577.330000000027,2.242907590312546
SBGR,2021-01-01T00:00:00Z,7414,7414,53204.59999999995,39694.59999999996,14997.9,2.0229161046668462
SBGR,2021-02-01T00:00:00Z,5783,5783,39837.49999999976,31865.49999999966,9400.820000000043,1.6255957115683977
SBGR,2021-03-01T00:00:00Z,4948,4948,32779.600000000035,26577.599999999762,7484.819999999976,1.5126960388035522
SBGR,2021-04-01T00:00:00Z,3905,3905,26280.300000000017,21911.59999999991,5464.369999999985,1.3993265044814303
SBGR,2021-05-01T00:00:00Z,5005,5005,32999.09999999993,26608.099999999802,7769.359999999998,1.55231968031968
SBGR,2021-06-01T00:00:00Z,5684,5684,39250.19999999985,31477.799999999737,9338.990000000007,1.643031315974667
SBGR,2021-07-01T00:00:00Z,7286,7286,50590.99999999994,40345.20000000015,12209.830000000004,1.6757933022234428
SBGR,2021-08-01T00:00:00Z,6780,6780,48578.50000000003,39037.40000000015,11268.399999999989,1.6620058997050131
SBGR,2021-09-01T00:00:00Z,7129,7129,51068.29999999982,40262.600000000304,12585.040000000003,1.7653303408612713
SBGR,2021-10-01T00:00:00Z,7362,7362,53914.399999999834,41763.10000000042,13949.589999999973,1.8948098342841582
