AIRPORT,DATE,PHASE,FLIGHTS,TOT_TAXI,TOT_REF,TOT_ADD,AVG_ADD
EGLL,2020-02,ARR,17636,148098,92157.9961631262,55877.0038368738,3.16834904949386
EGLL,2020-03,ARR,13066,102835,70547.7056605871,32269.2943394129,2.46971485836621
EGLL,2020-04,ARR,2624,20328,15163.6686263075,5150.33137369246,1.96277872473036
EGLL,2020-05,ARR,3409,25830,19094.149333077,6657.85066692302,1.95302160954034
EGLL,2020-06,ARR,3751,28090,21121.8128002233,6940.18719977675,1.85022319375546
EGLL,2020-07,ARR,6092,44549,33989.8317409936,10366.1682590064,1.70160345682967
EGLL,2020-08,ARR,7702,54416,41932.4221365152,12392.5778634848,1.60900777245973
EGLL,2020-09,ARR,7322,53818,39882.6919320146,13916.3080679854,1.90061568806137
EGLL,2020-10,ARR,9076,72863,48406.4556746108,24436.5443253892,2.69243546996356
EGLL,2020-11,ARR,5793,46335,31937.0584100798,14373.9415899202,2.48126041600556
EGLL,2020-12,ARR,6487,55632,35913.5312429115,19605.4687570885,3.02227050363627
EGLL,2021-01,ARR,5039,42360,27832.7472985902,14427.2527014098,2.86311821818016
EGLL,2021-02,ARR,4075,31954,22428.4904332056,9408.50956679439,2.30883670350783
EGLL,2021-03,ARR,4919,36982,27373.1898680698,9540.81013193019,1.9395832754483
EGLL,2021-04,ARR,5168,38389,28558.8021729704,9825.19782702963,1.90116057024567
EGLL,2021-05,ARR,5779,41849,31626.6686354733,10123.3313645267,1.75174448252754
EGLL,2021-06,ARR,6771,50880,37029.4046387675,13811.5953612325,2.03981618095296
EGLL,2021-07,ARR,8349,65205,45562.3361860419,19554.6638139581,2.34215640363614
EGLL,2021-08,ARR,9694,72875,51686.1128956337,21184.8871043663,2.18536074936727
EGLL,2021-09,ARR,10811,90316,57161.544428241,33098.455571759,3.06155356320035
EGLL,2021-10,ARR,12164,100664,62756.4347003088,37692.5652996912,3.09869823246393
EGLL,2021-11,ARR,12009,112704,62339.191427588,50314.808572412,4.18975839557099
EGLL,2021-12,ARR,12540,117305,66003.1701911292,51064.8298088708,4.07215548715078
EHAM,2019-01,ARR,19262,155567.75,116291.180467855,39001.1861988121,2.02477345025502
EHAM,2019-02,ARR,18274,190408.166666667,140809.694758184,49232.1385751491,2.69410849158089
EHAM,2019-03,ARR,20650,190606.5,135941.427641608,54031.7223583921,2.61654829822722
EHAM,2019-04,ARR,21773,148047.516666667,109959.402028962,37838.7271377044,1.7378738408903
EHAM,2019-05,ARR,23253,181161.316666667,132387.311446089,48482.1552205777,2.08498495766472
EHAM,2019-06,ARR,22634,215911.616666667,155129.26794543499,60427.1487212319,2.66975120266996
EHAM,2019-07,ARR,23210,185762.683333333,139205.804228018,46420.7291053149,2.00003141341297
EHAM,2019-08,ARR,23327,212584.533333333,168178.606783572,44374.6765497609,1.90228818749779
EHAM,2019-09,ARR,22885,202726.316666667,137094.325429922,65479.0745700782,2.86122239764379
EHAM,2019-10,ARR,23042,211188.3,160013.637694371,50602.1456389622,2.19608305003742
EHAM,2019-11,ARR,19661,203851.633333333,149101.051519879,54325.8818134539,2.7631291294163
EHAM,2019-12,ARR,19893,192106.916666667,147095.573452837,44876.2265471632,2.25588028689304
EHAM,2020-01,ARR,19436,190133.633333333,149064.037393818,40955.395939515,2.10719262911685
EHAM,2020-02,ARR,18218,161167.233333333,124697.25837825,36220.358288417,1.9881632609736
EHAM,2020-03,ARR,13254,115201.25,92397.1159940406,22674.6673392928,1.71077918660727
EHAM,2020-04,ARR,2470,18050.6166666667,14786.1748835357,3222.92677005607,1.30482865184456
EHAM,2020-05,ARR,3366,25715.9666666667,20625.9031620874,5008.58017124594,1.4879917323963
EHAM,2020-06,ARR,4613,37751.9166666667,31962.9964778014,5702.60352219864,1.23620280125702
EHAM,2020-07,ARR,8598,71568.95,61636.8531643163,9849.86350235038,1.14559938385094
EHAM,2020-08,ARR,12283,91006.3833333333,77584.6218568431,13310.4448098236,1.08364770901438
EHAM,2020-09,ARR,11746,85409.5166666667,67992.7651060774,17341.2848939226,1.47635662301401
EHAM,2020-10,ARR,10331,94992.6666666667,77372.1910714536,17596.0755952131,1.70323062580709
EHAM,2020-11,ARR,7900,75675.5833333333,63524.6499666525,12085.2833666808,1.52978270464314
EHAM,2020-12,ARR,8490,81701.25,68008.9979748206,13606.4686918461,1.60264648902781
EHAM,2021-01,ARR,7815,55652.6166666667,42070.9214374589,13458.9968827995,1.72220049683935
EHAM,2021-02,ARR,5743,50611.7333333333,26256.2298713273,24220.9534620061,4.21747404875606
EHAM,2021-03,ARR,6692,40980.9,29282.201502063,11408.9818312703,1.70486877335181
EHAM,2021-04,ARR,7436,37016.85,28238.5635911919,8648.01974214141,1.16299351023957
EHAM,2021-05,ARR,8535,59378.1333333333,47184.8412399182,12088.9087600818,1.41639235619002
EHAM,2021-06,ARR,10479,69882.9333333333,54534.8204108373,15263.362922496,1.4565667451566
EHAM,2021-07,ARR,15440,118381.916666667,92672.2954347301,25511.171664837,1.65227795756716
EHAM,2021-08,ARR,16779,132201.25,105266.612970855,26689.553695812,1.59065222574718
EHAM,2021-09,ARR,16173,124660.5,97604.6703742858,26943.6629590475,1.6659656810145
EHAM,2021-10,ARR,16711,161696.766666667,122249.4221664,39054.727833600104,2.33706707160554
EHAM,2021-11,ARR,15068,126827.233333333,98256.3988934948,28393.4677731719,1.88435544021582
EHAM,2021-12,ARR,15887,148322.25,112961.591305257,35134.3086947426,2.21151310472352
LEMD,2019-01,ARR,16251,119901.75,92890.7064657803,27011.0435342197,1.66211577959632
LEMD,2019-02,ARR,14916,114604.083333333,90459.2028154143,24144.880517919,1.61872355309191
LEMD,2019-03,ARR,16803,118936.4,92030.6140409276,26905.7859590724,1.60124894120528
LEMD,2019-04,ARR,17212,144255.516666667,110876.410831519,33379.1058351479,1.93929269318777
LEMD,2019-05,ARR,18390,149759.483333333,116045.277164131,33714.206169202604,1.83329016689519
LEMD,2019-06,ARR,18689,164899.683333333,128073.29112528,36826.3922080533,1.97048489528885
LEMD,2019-07,ARR,19226,164671.733333333,127818.53218052,36853.201152813,1.91684183672178
LEMD,2019-08,ARR,18301,155516.25,121411.910022143,34104.3399778574,1.86352330352753
LEMD,2019-09,ARR,18402,147755.183333333,115611.972929538,32143.2104037957,1.74672374762503
LEMD,2019-10,ARR,18391,149048.816666667,116535.993486939,32512.8231797281,1.76786597682171
LEMD,2019-11,ARR,15846,138388.7,105022.41872042,33366.281279579896,2.10565955317304
LEMD,2019-12,ARR,16930,143474.366666667,108978.319469307,34496.04719736,2.03756923788305
LEMD,2020-01,ARR,16453,133673.45,103042.691451959,30630.7585480408,1.86171266930291
LEMD,2020-02,ARR,15478,122941.95,96179.6043887351,26762.3456112649,1.7290570882068
LEMD,2020-03,ARR,9804,76113.85,58978.0873926124,17135.7626073876,1.74783380328311
LEMD,2020-04,ARR,1163,8935.15,6801.73853258416,2133.41146741584,1.83440366931715
LEMD,2020-05,ARR,1357,10450,7789.08453536888,2660.91546463112,1.96088096140834
LEMD,2020-06,ARR,1760,15413.15,11688.4922397945,3724.65776020545,2.11628281829855
LEMD,2020-07,ARR,5158,48192.7166666667,37340.9758466618,10851.7408200049,2.10386599844995
LEMD,2020-08,ARR,7488,63357.9666666667,50542.2251173108,12815.7415493559,1.71150394622808
LEMD,2020-09,ARR,6100,51767.6833333333,40814.7849165863,10952.898416747,1.79555711749951
LEMD,2020-10,ARR,5546,46902.95,36742.1640699651,10160.7859300349,1.83209266679316
LEMD,2020-11,ARR,4868,40627.6666666667,31332.4826741705,9295.18399249614,1.90944617758754
LEMD,2020-12,ARR,5916,48722.2333333333,37956.8375155135,10765.3958178199,1.81970855608855
LEMD,2021-01,ARR,4951,40216.8666666667,27929.2851183321,12287.5815483346,2.4818383252544
LEMD,2021-02,ARR,4739,41112.6833333333,32451.0387918205,8661.64454151287,1.82773676756971
LEMD,2021-03,ARR,5524,46727.5833333333,35287.3278936538,11440.2554396796,2.07100931203468
LEMD,2021-04,ARR,5944,49667.6666666667,38862.4595331786,10805.2071334881,1.81783430913326
LEMD,2021-05,ARR,6884,61235.9,45301.3752213197,15934.5247786803,2.31471888127256
LEMD,2021-06,ARR,8647,75966.6166666667,57726.7448669287,18239.871799738,2.10938727879473
LEMD,2021-07,ARR,10948,94775.3833333333,72705.6631441575,22069.7201891758,2.01586775567919
LEMD,2021-08,ARR,11487,97190.5333333333,77415.6030067627,19774.9303265706,1.72150520819802
LEMD,2021-09,ARR,11332,95658.4333333333,75927.7463248784,19730.687008455,1.74114781225335
LEMD,2021-10,ARR,11586,101199.433333333,76949.3036142659,24250.1297190675,2.09305452434554
LEMD,2021-11,ARR,11860,100028.55,74823.7139809409,25204.8360190591,2.12519696619385
LEMD,2021-12,ARR,12501,106034.233333333,80804.3786437873,25229.8546895461,2.01822691701032
LFPG,2019-01,ARR,18951,184901.516666667,142810.430465338,41438.4917353727,2.18661240754433
LFPG,2019-02,ARR,17563,163836.55,130526.963805125,33010.4371208013,1.8795443330183501
LFPG,2019-03,ARR,19973,187056.033333333,150119.324931686,36410.608401647,1.82299145855139
LFPG,2019-04,ARR,21320,199116.716666667,155830.139573953,42731.067170915,2.0042714432887
LFPG,2019-05,ARR,21879,207529.4,164329.465988322,42656.8098620179,1.94966908277425
LFPG,2019-06,ARR,22071,209846.966666667,164533.309880731,44696.3179865309,2.02511521845548
LFPG,2019-07,ARR,23421,222465.816666667,173238.625449391,48293.3245506086,2.06196680545701
LFPG,2019-08,ARR,23516,224946.25,175133.471280811,49264.7787191892,2.09494721547837
LFPG,2019-09,ARR,22512,216939.283333333,169495.918515919,47035.1314840812,2.08933597566104
LFPG,2019-10,ARR,22141,217587.883333333,167674.480635496,49477.4693645044,2.23465378097215
LFPG,2019-11,ARR,19157,186687.183333333,143442.803997186,43000.9293361473,2.24465883677754
LFPG,2019-12,ARR,19392,190447.1,145380.25089448,44620.5447765159,2.30097693773287
LFPG,2020-01,ARR,18834,183334.866666667,141659.049083293,41241.1357684866,2.18971730744858
LFPG,2020-02,ARR,17829,173485.066666667,135798.408826102,37357.1516009093,2.09530268668514
LFPG,2020-03,ARR,11847,112788.05,92349.079615364,20109.2801012352,1.69741538796617
LFPG,2020-04,ARR,2109,23655.4833333333,19480.3953015931,3675.29391409314,1.7426713675169
LFPG,2020-05,ARR,2924,33734,28208.0728759009,5092.59379076575,1.74165314321674
LFPG,2020-06,ARR,4906,51952.45,42736.7777535975,8345.2555797358,1.70103048914305
LFPG,2020-07,ARR,9478,100810.9,79287.9066804276,20692.3742719534,2.18320049292608
LFPG,2020-08,ARR,11474,105107.066666667,82351.6353806741,21946.3646193259,1.91270390616401
LFPG,2020-09,ARR,9412,84861.8166666667,68670.4978221474,15868.2688445192,1.68596141569478
LFPG,2020-10,ARR,8413,79675.9,63652.6152849151,15426.7979052357,1.83368571320999
LFPG,2020-11,ARR,5952,83491.2333333333,52827.7223788549,30097.0815427137,5.05663332370862
LFPG,2020-12,ARR,6940,82717.5666666667,62999.4682417825,19385.7918124519,2.7933417597193
LFPG,2021-01,ARR,7082,65994.6166666667,51150.2028670685,14254.5688074229,2.01278859184169
LFPG,2021-02,ARR,6120,60112,45067.926603412,14407.073396588,2.3540969602268
LFPG,2021-03,ARR,7087,71870,56625.4550672795,14873.5449327205,2.09870818861584
LFPG,2021-04,ARR,7110,72020.3666666667,56124.3657564846,15241.0009101821,2.14360069060226
LFPG,2021-05,ARR,7591,85945,69228.7814623633,16485.2185376367,2.17167942795899
LFPG,2021-06,ARR,9360,97909,74914.6886922285,21788.3113077715,2.32781103715507
LFPG,2021-07,ARR,13640,141204.483333333,103701.155760314,36071.8442396862,2.64456336068081
LFPG,2021-08,ARR,14706,144363,110806.934254578,32938.0657454222,2.23977055252429
LFPG,2021-09,ARR,12829,124184.183333333,96366.5365440504,26958.1108243706,2.10134155619071
LFPG,2021-10,ARR,13348,134463.166666667,102144.222434997,30989.477565003,2.32165699468107
LFPG,2021-11,ARR,13978,145902,109371.328902544,35448.4620065471,2.5360181718806
LFPG,2021-12,ARR,14781,153623.583333333,117353.648978745,35343.4805878182,2.39114272294285
LIRF,2019-01,ARR,11458,109406,78515.5431213948,30890.4568786052,2.69597284679745
LIRF,2019-02,ARR,10708,103689,72538.8767626016,31150.1232373984,2.90905147902488
LIRF,2019-03,ARR,11929,113584,78687.7297132976,34896.2702867024,2.92533073071527
LIRF,2019-04,ARR,13123,123958,85786.5353824299,38171.4646175701,2.90874530348016
LIRF,2019-05,ARR,13579,129511,90594.8805083085,38916.1194916915,2.86590466836229
LIRF,2019-06,ARR,14179,137927,94523.7530492395,43403.2469507605,3.06109365616479
