ICAO,MOF,PHASE,N,TOT_ADD_FUEL,TOT_TXX_FUEL
SBKP,2021-07-01T00:00:00Z,ARR,4173,79184.54160000007,286093.95000000094
SBKP,2021-07-01T00:00:00Z,DEP,4187,132339.114,640215.4343399998
SBKP,2021-08-01T00:00:00Z,ARR,4600,106515.64424383844,332702.78275711706
SBKP,2021-08-01T00:00:00Z,DEP,4606,138445.72560000015,658885.2064000015
SBKP,2021-09-01T00:00:00Z,ARR,4347,108679.06738264945,326161.6409616517
SBKP,2021-09-01T00:00:00Z,DEP,4323,135683.58847814353,636786.9344304083
SBKP,2021-10-01T00:00:00Z,ARR,4561,119192.99699635238,350313.2546977333
SBKP,2021-10-01T00:00:00Z,DEP,4543,161986.46318223616,696364.03925276
SBKP,2021-11-01T00:00:00Z,ARR,4516,111250.12223473663,333039.1118265557
SBKP,2021-11-01T00:00:00Z,DEP,4550,153866.12399999995,688185.2019199982
SBKP,2021-12-01T00:00:00Z,ARR,4614,126957.52782560054,359867.0019608314
SBKP,2021-12-01T00:00:00Z,DEP,4617,157479.12236706557,718073.4126795458
SBKP,2022-01-01T00:00:00Z,ARR,3816,97724.91973062909,283530.17207410943
