ICAO,YEAR,MOF,SRC_PHASE,N,N_VALID,TOT_TXXT,TOT_REF,TOT_ADD,AVG_ADD
EDDF,2022,202206,DEP,17939,17939,235370.1499999994,212215.9300000068,23154.21999999261,1.2907196610732263
EDDF,2022,202207,ARR,17499,17499,164364.64999999924,125837.26666666668,38527.38333333256,2.201690572794592
EDDF,2022,202207,DEP,17504,17504,231779.7166666669,209254.6266666731,22525.089999993797,1.2868538619740515
EDDM,2019,201901,ARR,15617,15617,94400,71881.99999999997,22518.00000000003,1.441890247806879
EDDM,2019,201901,DEP,15692,15692,271852,154344.80000000016,117507.19999999984,7.488350751975519
EDDM,2019,201902,ARR,14949,14949,90117,67981.99999999996,22135.000000000044,1.480701050237477
EDDM,2019,201902,DEP,14941,14940,215903,148665.79999999984,67237.20000000016,4.500481927710854
EDDM,2019,201903,ARR,17122,17122,97129,78763.59999999996,18365.40000000004,1.0726200210255834
EDDM,2019,201903,DEP,17120,17120,215094,169223.2000000001,45870.7999999999,2.6793691588784987
EDDM,2019,201904,ARR,17061,17061,96316,76870.99999999994,19445.00000000006,1.1397338960201664
EDDM,2019,201904,DEP,17028,17028,214751,178281.80000000028,36469.19999999972,2.141719520789272
EDDM,2019,201905,ARR,18735,18735,110907,85754.00000000001,25152.999999999985,1.342567387243127
EDDM,2019,201905,DEP,18749,18749,236268,188246.2000000006,48021.799999999406,2.561299269294331
EDDM,2019,201906,ARR,18186,18186,108707,82859.79999999987,25847.200000000128,1.421269108105143
EDDM,2019,201906,DEP,18200,18200,234914,186497.4000000005,48416.59999999954,2.660252747252722
EDDM,2019,201907,ARR,18818,18818,110923,87072.19999999988,23850.80000000012,1.2674460622808013
EDDM,2019,201907,DEP,18821,18821,237678,187354.60000000024,50323.39999999976,2.6737899155198854
EDDM,2019,201908,ARR,18053,18053,108123,83120.3999999999,25002.600000000093,1.3849554090732894
EDDM,2019,201908,DEP,18051,18051,227969,181820.60000000012,46148.39999999988,2.556556423466837
EDDM,2019,201909,ARR,18933,18933,107860,87325.99999999993,20534.000000000073,1.0845613479110583
EDDM,2019,201909,DEP,18934,18934,240207,190415.60000000056,49791.39999999944,2.6297348684905164
EDDM,2019,201910,ARR,18664,18664,105840,85766.9999999999,20073.000000000106,1.0754929275610856
EDDM,2019,201910,DEP,18648,18647,238802,188136.20000000013,50665.79999999987,2.7171019466938313
EDDM,2019,201911,ARR,15759,15759,88841,71898.19999999994,16942.80000000006,1.075118979630691
EDDM,2019,201911,DEP,15765,15765,201615,159445.2,42169.79999999999,2.674900095147478
EDDM,2019,201912,ARR,15267,15267,87648,70050.99999999999,17597.000000000015,1.1526167550926845
EDDM,2019,201912,DEP,15203,15203,208616,153619.7999999999,54996.2000000001,3.6174570808393143
EDDM,2020,202001,ARR,15298,15298,86076,70351.59999999998,15724.400000000023,1.0278729245653042
EDDM,2020,202001,DEP,15375,15375,210999,152116.80000000002,58882.19999999998,3.8297365853658527
EDDM,2020,202002,ARR,14703,14703,82684,68005.19999999994,14678.80000000006,0.9983540773991744
EDDM,2020,202002,DEP,14687,14687,189639,144065.79999999996,45573.20000000004,3.102961802954997
EDDM,2020,202003,ARR,8677,8675,46528,39247.39999999999,7280.600000000013,0.8392622478386182
EDDM,2020,202003,DEP,8635,8635,99561,84663.20000000003,14897.799999999974,1.7252808338158627
EDDM,2020,202004,ARR,906,906,4633,4234,399,0.44039735099337746
EDDM,2020,202004,DEP,917,917,8391,8256.200000000003,134.79999999999745,0.14700109051253812
EDDM,2020,202005,ARR,1028,1028,6978,6100.400000000006,877.599999999994,0.8536964980544689
EDDM,2020,202005,DEP,1035,1035,10435,10584.599999999997,-149.59999999999673,-0.14454106280192922
