FIR,ano,mes,dia,mov
BRASIL,2016,10,7,5327
BRASIL,2016,10,8,4407
BRASIL,2016,10,9,3869
BRASIL,2016,10,10,4540
BRASIL,2016,10,11,4639
BRASIL,2016,10,12,3952
BRASIL,2016,10,13,4310
BRASIL,2016,10,14,4834
BRASIL,2016,10,15,3898
BRASIL,2016,10,16,4296
BRASIL,2016,10,17,4671
BRASIL,2016,10,18,4708
BRASIL,2016,10,19,4816
BRASIL,2016,10,20,4850
BRASIL,2016,10,21,4898
BRASIL,2016,10,22,3852
BRASIL,2016,10,23,3741
BRASIL,2016,10,24,4606
BRASIL,2016,10,25,4326
BRASIL,2016,10,26,4596
BRASIL,2016,10,27,4754
BRASIL,2016,10,28,5275
BRASIL,2016,10,29,3889
BRASIL,2016,10,30,3740
BRASIL,2016,10,31,4631
BRASIL,2016,11,1,4393
BRASIL,2016,11,2,3913
BRASIL,2016,11,3,4560
BRASIL,2016,11,4,4636
BRASIL,2016,11,5,3724
BRASIL,2016,11,6,3790
BRASIL,2016,11,7,4513
BRASIL,2016,11,8,4609
BRASIL,2016,11,9,4746
BRASIL,2016,11,10,5161
BRASIL,2016,11,11,5299
BRASIL,2016,11,12,4086
BRASIL,2016,11,13,2914
BRASIL,2016,11,14,3464
BRASIL,2016,11,15,4526
BRASIL,2016,11,16,4652
BRASIL,2016,11,17,4744
BRASIL,2016,11,18,4793
BRASIL,2016,11,19,4016
BRASIL,2016,11,20,4069
BRASIL,2016,11,21,4466
BRASIL,2016,11,22,4549
BRASIL,2016,11,23,4386
BRASIL,2016,11,24,4940
BRASIL,2016,11,25,5087
BRASIL,2016,11,26,3925
BRASIL,2016,11,27,3794
BRASIL,2016,11,28,4640
BRASIL,2016,11,29,4483
BRASIL,2016,11,30,4564
BRASIL,2016,12,1,4951
BRASIL,2016,12,2,5044
BRASIL,2016,12,3,3699
BRASIL,2016,12,4,3476
BRASIL,2016,12,5,4668
BRASIL,2016,12,6,4896
BRASIL,2016,12,7,4922
BRASIL,2016,12,8,4891
BRASIL,2016,12,9,4742
BRASIL,2016,12,10,3704
BRASIL,2016,12,11,3681
BRASIL,2016,12,12,4495
BRASIL,2016,12,13,4675
BRASIL,2016,12,14,4540
BRASIL,2016,12,15,4776
BRASIL,2016,12,16,5074
BRASIL,2016,12,17,4226
BRASIL,2016,12,18,3871
BRASIL,2016,12,19,4706
BRASIL,2016,12,20,4784
BRASIL,2016,12,21,4739
BRASIL,2016,12,22,4946
BRASIL,2016,12,23,4950
BRASIL,2016,12,24,3353
BRASIL,2016,12,25,2974
BRASIL,2016,12,26,4870
BRASIL,2016,12,27,4736
BRASIL,2016,12,28,4618
BRASIL,2016,12,29,4599
BRASIL,2016,12,30,4203
BRASIL,2016,12,31,2963
BRASIL,2017,1,1,3034
BRASIL,2017,1,2,4476
BRASIL,2017,1,3,4438
BRASIL,2017,1,4,4478
BRASIL,2017,1,5,4514
BRASIL,2017,1,6,4386
BRASIL,2017,1,7,3918
BRASIL,2017,1,8,3831
BRASIL,2017,1,9,4634
BRASIL,2017,1,10,4461
BRASIL,2017,1,11,4643
BRASIL,2017,1,12,4727
BRASIL,2017,1,13,4714
BRASIL,2017,1,14,4039
BRASIL,2017,1,15,3820
BRASIL,2017,1,16,4474
BRASIL,2017,1,17,4421
BRASIL,2017,1,18,4430
BRASIL,2017,1,19,4596
BRASIL,2017,1,20,4640
BRASIL,2017,1,21,3760
BRASIL,2017,1,22,3463
BRASIL,2017,1,23,4410
BRASIL,2017,1,24,4570
BRASIL,2017,1,25,4479
BRASIL,2017,1,26,4623
BRASIL,2017,1,27,4752
BRASIL,2017,1,28,3770
BRASIL,2017,1,29,3652
BRASIL,2017,1,30,4600
BRASIL,2017,1,31,4532
BRASIL,2017,2,1,4363
BRASIL,2017,2,2,4471
BRASIL,2017,2,3,4759
BRASIL,2017,2,4,3748
BRASIL,2017,2,5,3666
BRASIL,2017,2,6,4488
BRASIL,2017,2,7,4526
BRASIL,2017,2,8,4571
BRASIL,2017,2,9,4863
BRASIL,2017,2,10,4775
BRASIL,2017,2,11,3733
BRASIL,2017,2,12,3430
BRASIL,2017,2,13,4572
BRASIL,2017,2,14,4559
BRASIL,2017,2,15,5012
BRASIL,2017,2,16,5051
BRASIL,2017,2,17,5007
BRASIL,2017,2,18,3904
BRASIL,2017,2,19,3606
BRASIL,2017,2,20,4644
BRASIL,2017,2,21,4776
BRASIL,2017,2,22,4832
BRASIL,2017,2,23,5125
BRASIL,2017,2,24,5479
BRASIL,2017,2,25,4300
BRASIL,2017,2,26,2703
BRASIL,2017,2,27,2984
BRASIL,2017,2,28,3485
BRASIL,2017,3,1,4782
BRASIL,2017,3,2,4347
BRASIL,2017,3,3,4544
BRASIL,2017,3,4,3795
BRASIL,2017,3,5,3717
BRASIL,2017,3,6,4581
BRASIL,2017,3,7,4593
BRASIL,2017,3,8,4630
BRASIL,2017,3,9,4916
BRASIL,2017,3,10,5105
BRASIL,2017,3,11,3995
BRASIL,2017,3,12,3724
BRASIL,2017,3,13,4627
BRASIL,2017,3,14,4563
BRASIL,2017,3,15,4852
BRASIL,2017,3,16,5039
BRASIL,2017,3,17,5155
BRASIL,2017,3,18,3781
BRASIL,2017,3,19,3514
BRASIL,2017,3,20,4732
BRASIL,2017,3,21,4697
BRASIL,2017,3,22,4992
BRASIL,2017,3,23,4991
BRASIL,2017,3,24,5258
BRASIL,2017,3,25,4223
BRASIL,2017,3,26,3794
BRASIL,2017,3,27,4571
BRASIL,2017,3,28,4608
BRASIL,2017,3,29,4965
BRASIL,2017,3,30,5108
BRASIL,2017,3,31,5280
BRASIL,2017,4,1,3829
BRASIL,2017,4,2,3688
BRASIL,2017,4,3,4742
BRASIL,2017,4,4,4853
BRASIL,2017,4,5,4748
BRASIL,2017,4,6,4630
BRASIL,2017,4,7,4770
BRASIL,2017,4,8,3716
BRASIL,2017,4,9,3478
BRASIL,2017,4,10,4656
BRASIL,2017,4,11,4796
BRASIL,2017,4,12,4773
BRASIL,2017,4,13,5348
BRASIL,2017,4,14,3763
BRASIL,2017,4,15,2862
BRASIL,2017,4,16,3782
BRASIL,2017,4,17,4775
BRASIL,2017,4,18,4657
BRASIL,2017,4,19,4946
BRASIL,2017,4,20,5226
BRASIL,2017,4,21,4056
BRASIL,2017,4,22,3171
BRASIL,2017,4,23,3969
BRASIL,2017,4,24,4844
BRASIL,2017,4,25,4801
BRASIL,2017,4,26,4424
BRASIL,2017,4,27,4904
BRASIL,2017,4,28,5343
BRASIL,2017,4,29,4012
BRASIL,2017,4,30,3072
BRASIL,2017,5,1,4644
BRASIL,2017,5,2,4601
BRASIL,2017,5,3,4830
BRASIL,2017,5,4,5078
BRASIL,2017,5,5,4976
BRASIL,2017,5,6,3926
BRASIL,2017,5,7,3665
BRASIL,2017,5,8,4734
BRASIL,2017,5,9,4786
BRASIL,2017,5,10,4870
BRASIL,2017,5,11,5100
BRASIL,2017,5,12,5198
BRASIL,2017,5,13,4045
BRASIL,2017,5,14,3346
BRASIL,2017,5,15,4592
BRASIL,2017,5,16,4540
BRASIL,2017,5,17,4566
BRASIL,2017,5,18,4611
BRASIL,2017,5,19,4410
BRASIL,2017,5,20,3397
BRASIL,2017,5,21,3187
BRASIL,2017,5,22,4525
BRASIL,2017,5,23,4565
